id,source_ip,dur,spkts,sbytes,sttl,swin,stcpb,dtcpb,rate,pps,ttl_ratio,tcp_diff,swin_interaction,label
66,10.0.0.3,1738340034.176603,1,797,64,43440,2722814787,3153188283,4.584833716825223e-07,5.752614450219853e-10,3.681673248140706e-08,430373496.0,118279074347280.0,0
67,10.0.0.5,1738340034.176637,1,892,64,83,3153188283,2722814788,5.131332089596009e-07,5.752614450219741e-10,3.6816732481406344e-08,-430373495.0,261714627489.0,0
68,10.0.0.5,1738340034.176966,1,935,64,83,3153188283,2722814788,5.37869451095444e-07,5.752614450218652e-10,3.6816732481399375e-08,-430373495.0,261714627489.0,0
69,10.0.0.3,1738340034.177001,1,854,64,85,2722814788,3153188423,4.91273274048663e-07,5.752614450218537e-10,3.6816732481398634e-08,430373635.0,231439256980.0,0
70,10.0.0.3,1738340034.177590,1,926,64,85,2722814788,3153188423,5.32692098090056e-07,5.752614450216588e-10,3.681673248138616e-08,430373635.0,231439256980.0,0
71,10.0.0.3,1738340034.177677,1,814,64,85,2722814906,3153188423,4.6826281624760677e-07,5.752614450216299e-10,3.6816732481384314e-08,430373517.0,231439267010.0,0
72,10.0.0.5,1738340034.177756,1,913,64,83,3153188423,2722814906,5.252136993047242e-07,5.752614450216037e-10,3.681673248138264e-08,-430373517.0,261714639109.0,0
73,10.0.0.5,1738340034.179271,1,870,64,83,3153188423,2722814907,5.004774571683591e-07,5.752614450211024e-10,3.681673248135055e-08,-430373516.0,261714639109.0,0
74,10.0.0.3,1738340034.179314,1,811,64,85,2722814907,3153188424,4.6653703191210257e-07,5.752614450210882e-10,3.6816732481349645e-08,430373517.0,231439267095.0,0
75,10.0.0.5,1738340034.285209,1,815,64,42340,3856450074,0,4.688380776636265e-07,5.752614449860448e-10,3.681673247910687e-08,-3856450074.0,163282096133160.0,0
76,10.0.0.3,1738340034.285321,1,963,64,43440,1657173144,3856450075,5.539767715215254e-07,5.752614449860078e-10,3.68167324791045e-08,2199276931.0,71987601375360.0,0
77,10.0.0.5,1738340034.285379,1,946,64,83,3856450075,1657173145,5.441973269567452e-07,5.752614449859886e-10,3.681673247910327e-08,-2199276930.0,320085356225.0,0
78,10.0.0.5,1738340034.285825,1,944,64,83,3856450075,1657173145,5.430468040666338e-07,5.752614449858409e-10,3.681673247909382e-08,-2199276930.0,320085356225.0,0
79,10.0.0.3,1738340034.285866,1,925,64,85,1657173145,3856450215,5.321168366118903e-07,5.752614449858274e-10,3.681673247909295e-08,2199277070.0,140859717325.0,0
80,10.0.0.3,1738340034.286679,1,983,64,85,1657173145,3856450215,5.654820004208038e-07,5.752614449855583e-10,3.681673247907573e-08,2199277070.0,140859717325.0,0
81,10.0.0.3,1738340034.286838,1,881,64,85,1657173263,3856450215,5.068053330322305e-07,5.752614449855057e-10,3.6816732479072364e-08,2199276952.0,140859727355.0,0
